2023-09-26 16:13:40,430 INFO    StreamThr :61712 [internal.py:wandb_internal():86] W&B internal server running at pid: 61712, started at: 2023-09-26 16:13:40.430005
2023-09-26 16:13:40,431 DEBUG   HandlerThread:61712 [handler.py:handle_request():144] handle_request: status
2023-09-26 16:13:40,437 INFO    WriterThread:61712 [datastore.py:open_for_write():85] open: /Users/yangdongjae/Desktop/2023/CS/Deep learning/assignment/src/homework#2/wandb/run-20230926_161340-ms9p6ane/run-ms9p6ane.wandb
2023-09-26 16:13:40,437 DEBUG   SenderThread:61712 [sender.py:send():380] send: header
2023-09-26 16:13:40,464 DEBUG   SenderThread:61712 [sender.py:send():380] send: run
2023-09-26 16:13:41,401 INFO    SenderThread:61712 [dir_watcher.py:__init__():211] watching files in: /Users/yangdongjae/Desktop/2023/CS/Deep learning/assignment/src/homework#2/wandb/run-20230926_161340-ms9p6ane/files
2023-09-26 16:13:41,401 INFO    SenderThread:61712 [sender.py:_start_run_threads():1122] run started: ms9p6ane with start time 1695712420.430729
2023-09-26 16:13:41,407 DEBUG   HandlerThread:61712 [handler.py:handle_request():144] handle_request: check_version
2023-09-26 16:13:41,407 DEBUG   SenderThread:61712 [sender.py:send_request():407] send_request: check_version
2023-09-26 16:13:41,534 DEBUG   HandlerThread:61712 [handler.py:handle_request():144] handle_request: run_start
2023-09-26 16:13:41,541 DEBUG   HandlerThread:61712 [system_info.py:__init__():32] System info init
2023-09-26 16:13:41,541 DEBUG   HandlerThread:61712 [system_info.py:__init__():47] System info init done
2023-09-26 16:13:41,541 INFO    HandlerThread:61712 [system_monitor.py:start():181] Starting system monitor
2023-09-26 16:13:41,541 INFO    SystemMonitor:61712 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-09-26 16:13:41,541 INFO    HandlerThread:61712 [system_monitor.py:probe():201] Collecting system info
2023-09-26 16:13:41,542 DEBUG   HandlerThread:61712 [system_info.py:probe():196] Probing system
2023-09-26 16:13:41,542 INFO    SystemMonitor:61712 [interfaces.py:start():190] Started cpu monitoring
2023-09-26 16:13:41,543 INFO    SystemMonitor:61712 [interfaces.py:start():190] Started disk monitoring
2023-09-26 16:13:41,545 INFO    SystemMonitor:61712 [interfaces.py:start():190] Started gpuapple monitoring
2023-09-26 16:13:41,546 INFO    SystemMonitor:61712 [interfaces.py:start():190] Started memory monitoring
2023-09-26 16:13:41,547 INFO    SystemMonitor:61712 [interfaces.py:start():190] Started network monitoring
2023-09-26 16:13:41,551 DEBUG   HandlerThread:61712 [system_info.py:_probe_git():181] Probing git
2023-09-26 16:13:41,573 DEBUG   HandlerThread:61712 [system_info.py:_probe_git():189] Probing git done
2023-09-26 16:13:41,573 DEBUG   HandlerThread:61712 [system_info.py:probe():244] Probing system done
